date,BRL,CLP,COP,MXN
2010-01-04,-1.146742247376625,-0.8369158105366019,-0.5421748588203479,-0.8020486757579496
2010-01-05,-1.1340052004943282,-0.887537312409516,-0.5849986346032673,-0.8252126263306966
2010-01-06,-1.1320556525021404,-0.9528714675361343,-0.6378865557808695,-0.8526934949647289
2010-01-07,-1.1139898411078626,-0.9986303128251964,-0.6778082859416624,-0.8349695630870966
2010-01-08,-1.13868411567558,-0.9925208212198454,-0.6819753258093314,-0.8623451410367069
2010-01-11,-1.1273767373208885,-1.031671440894956,-0.6835379657597072,-0.8515703943308989
2010-01-12,-1.1143797507063,-1.034663844946557,-0.6835379657597072,-0.8298103195504387
2010-01-13,-1.100343005162545,-0.9834189255628926,-0.6999270823821016,-0.858379191923494
2010-01-14,-1.0983934571703566,-0.9925208212198454,-0.688058459901866,-0.8702770392631327
2010-01-15,-1.080977495106808,-1.0466334611529602,-0.6725808832505238,-0.862906691353622
2010-01-18,-1.0964439091781681,-1.0107246125337501,-0.6851006057100828,-0.8804200418624115
2010-01-19,-1.0821472239021213,-1.0016227168767975,-0.6851006057100828,-0.8837893437639017
2010-01-20,-1.0579728287989867,-0.9528714675361343,-0.7029221422869888,-0.8447264998434959
2010-01-21,-1.0399070174047094,-0.8938961710191676,-0.6910907255198571,-0.7727427685939432
2010-01-22,-1.0232708745380361,-0.8369158105366019,-0.6856958971197501,-0.7650916455259755
2010-01-25,-1.0228809649395985,-0.8145974636517455,-0.6580148465702347,-0.8038035204983089
2010-01-26,-0.997666810907297,-0.7659708978132322,-0.6952019568178698,-0.806716562767306
2010-01-27,-0.9693333800874948,-0.6361753720750466,-0.6761340288519738,-0.769794629430139
2010-01-28,-0.9534770564176971,-0.5466526175313209,-0.6466857069300098,-0.7376809706815575
2010-01-29,-0.9338516066296687,-0.6088696851041883,-0.6408072042595481,-0.7311178513526126
2010-02-01,-0.9697232896859325,-0.5813146311290301,-0.6574009523040157,-0.8026453229696717
2010-02-02,-1.005594972742196,-0.5709659004505782,-0.6754271203029946,-0.8055232683438617
2010-02-03,-0.9786912104499983,-0.4330659470726391,-0.6989969395544968,-0.7768842021811923
