rstar,g,z,output gap
5.15134789687306,5.13837862635514,0.0129692705179187,-4.00612790603941
5.4427062496968,5.41760598780277,0.0251002618940238,-3.85452051901132
5.26061512401167,5.2348407587773,0.0257743652343778,-3.03146181686031
5.07838878276011,5.06255669027907,0.0158320924810472,-2.16565879741336
4.80455779783709,4.79068930208252,0.0138684957545752,-1.14280112684048
4.22829226238833,4.23397933376556,-0.00568707137723759,-0.333601436222352
4.07287306064437,4.0885576060952,-0.0156845454508294,0.127529110433215
3.61543649324668,3.66663510400238,-0.0511986107557001,0.358304855084384
3.61482025092676,3.65744044589492,-0.0426201949681662,0.591226628171057
3.61583062018259,3.6533646951065,-0.0375340749239064,0.825946938302764
3.96990340794531,3.98364223615369,-0.0137388282083769,1.17285694254235
3.74570922053407,3.75835230556047,-0.0126430850263928,1.54684963067473
4.05412698274938,4.05417200788951,-4.50251401292526e-05,1.77379377452849
3.96818614973497,3.99951829081158,-0.0313321410766021,1.91710858937358
4.06475464103253,4.10707304758327,-0.0423184065507439,2.06174348085722
3.79231621905979,3.87417390188158,-0.0818576828217906,2.0270704548077
4.20984910991318,4.24763268621203,-0.0377835762988508,2.26854339407168
4.19181971134131,4.24712246567125,-0.0553027543299375,2.41077523223191
4.47229387602123,4.51518378976142,-0.0428899137401909,2.62044041317006
4.72394875204409,4.75371932767238,-0.0297705756282957,2.94282981609399
5.0068581333143,4.98617220913126,0.0206859241830417,3.45095699953026
4.7698553695675,4.68788575317476,0.0819696163927336,3.79750723400775
4.74556707764353,4.64375594557371,0.101811132069817,3.68324039178094
4.72736778995992,4.60945526266975,0.117912527290174,3.50641161932538
4.62885856116949,4.61606388016059,0.0127946810088986,2.95150479503241
4.37138442792514,4.38935542117064,-0.0179709932455015,2.61932258227193
4.42530343321829,4.38621566495207,0.0390877682662196,2.60919666044776
4.37241570122544,4.29795748553853,0.0744582156869094,2.67198704004306
4.66364051293497,4.50346531881829,0.160175194116675,3.05339409820613
4.75176077064875,4.56441593588098,0.187344834767773,3.42078629951493
4.57538138131812,4.42656150164811,0.148819879670013,3.47442942791122
4.3811746871608,4.25248359414685,0.128691093013946,3.35778450740293
4.48877829837175,4.40135267819205,0.0874256201797006,3.21218237995413
4.28223931223419,4.20078753047934,0.0814517817548563,3.14081478232799
4.20977263950767,4.16767338221674,0.0420992572909291,2.78948919265304
3.89271673142588,3.89099485023311,0.00172188119276893,2.1907761139488
3.7172773351027,3.77786670031748,-0.0605893652147743,1.3601936884719
3.65662765633836,3.72818059973992,-0.0715529434015576,0.717851940894661
3.7552978007848,3.83318681668105,-0.0778890158962523,0.30677444480034
3.3875875518381,3.37094298487205,0.016644566966049,0.146655373814042
3.91890877980165,3.87887999925032,0.040028780551329,0.168197007564231
3.63732999333928,3.67222042365485,-0.0348904303155655,0.353159285654783
3.39438507015992,3.56930818686756,-0.174923116707644,0.366424852181126
2.91215325557777,3.36545555416222,-0.45330229858444,-0.065131737688148
3.22083206486314,3.5419953766945,-0.321163311831361,0.516610823140809
3.33622877234179,3.78382306412697,-0.447594291785178,0.758778487008271
3.19797414731471,3.65079320347066,-0.452819056155951,1.22959391219615
3.2533923654774,3.77483475393092,-0.52144238845352,1.40093318830202
3.57242285897008,4.07412892261692,-0.501706063646844,1.84578475739147
3.84334021844504,3.97919540045351,-0.135855182008474,2.90854953122596
3.54138375076349,3.63412674212133,-0.0927429913578398,2.7212084508335
3.80100954371759,3.78529427592031,0.0157152677972788,2.39815123064966
