date,ffr,infl,lngdp
12/1/1987,7.263751092,4.10534471,9.023130889
3/1/1988,6.988647504,3.78071594,9.028734559
6/1/1988,7.525026239,4.820799045,9.041862547
9/1/1988,8.429841543,4.581227756,9.047621422
12/1/1988,8.966061794,4.392661673,9.060784122
3/1/1989,10.04644874,4.209686737,9.070813902
6/1/1989,10.36294766,3.544640841,9.078647289
9/1/1989,9.64561431,2.866525082,9.086080155
12/1/1989,9.124493215,3.614482426,9.088195337
3/1/1990,8.723334116,4.478582168,9.099084736
6/1/1990,8.715987155,4.399666909,9.102944453
9/1/1990,8.62419191,3.957076744,9.103189365
12/1/1990,8.166373826,3.30248187,9.094637671
3/1/1991,6.732278597,3.383969366,9.089933898
6/1/1991,6.124510333,3.004281548,9.097664274
9/1/1991,5.888095266,3.566615052,9.102454448
12/1/1991,5.004432905,3.094912078,9.10680042
3/1/1992,4.163318369,2.99368921,9.118553976
6/1/1992,3.896145143,2.806642111,9.129509854
9/1/1992,3.356861421,2.361246371,9.139188028
12/1/1992,3.126595233,2.949713363,9.149156219
3/1/1993,3.130080294,2.73968122,9.151025517
6/1/1993,3.088267304,3.036495269,9.156950144
9/1/1993,3.150993131,2.238424026,9.161811674
12/1/1993,3.077816699,2.046230077,9.175075823
3/1/1994,3.311465445,1.788484683,9.184837932
6/1/1994,4.075356904,2.675665447,9.198409481
9/1/1994,4.653737899,2.210929889,9.204292118
12/1/1994,5.377662884,2.028078387,9.215576639
3/1/1995,6.067149297,2.043585356,9.218992831
6/1/1995,6.293187347,2.289181426,9.222476431
9/1/1995,6.05281387,1.863734024,9.231005372
12/1/1995,5.970422651,2.002113,9.238072264
3/1/1996,5.587962833,1.593496603,9.244616187
6/1/1996,5.459594496,1.863654617,9.261926623
9/1/1996,5.527325045,1.824999092,9.271134391
12/1/1996,5.498801634,2.249705077,9.281646566
3/1/1997,5.495236748,1.563830393,9.289234728
6/1/1997,5.759363044,2.055924563,9.304213156
9/1/1997,5.770084765,0.901073175,9.316860215
12/1/1997,5.741495917,1.247315479,9.324588278
3/1/1998,5.755789378,1.106555574,9.334432353
6/1/1998,5.734349909,1.210761067,9.344084242
9/1/1998,5.770084765,1.391745829,9.357086563
12/1/1998,5.050570731,1.222293234,9.373368672
3/1/1999,4.915763107,1.290986585,9.381322884
6/1/1999,4.929945256,1.238711911,9.389532036
9/1/1999,5.299352916,1.369198015,9.402042791
12/1/1999,5.527325045,1.813562936,9.419247058
3/1/2000,5.923881941,2.19966512,9.422147913
6/1/2000,6.566507564,1.308337067,9.440856678
9/1/2000,6.833308585,1.82262778,9.442063017
12/1/2000,6.782781676,1.922210712,9.447726021
3/1/2001,5.834437861,2.258162888,9.44488271
6/1/2001,4.484124654,1.554122818,9.450167967
9/1/2001,3.608645714,1.140804205,9.447000166
12/1/2001,2.18645909,2.027776507,9.449774508
3/1/2002,1.772897616,1.141004443,9.458941122
6/1/2002,1.790095972,2.331673641,9.464439807
9/1/2002,1.77977661,2.063774147,9.469298843
