index.data.est.,BRL,CLP,COP,MXN,Factor
2010-01-04,-1.2920658114754615,-0.40692277701678664,-0.5385660770715629,-0.09980511388666663,-4.155159826254883
2010-01-05,-1.2465360097995353,-0.5067231145064901,-0.5815801443703025,-0.12488020409774733,-4.168727916106912
2010-01-06,-1.207816325233137,-0.6294508173725302,-0.6346679344260611,-0.1419951171590236,-4.188547286861586
2010-01-07,-1.1743597565238064,-0.7525920868626457,-0.6749149099067125,-0.08838099091511287,-4.1883111886821816
2010-01-08,-1.1967869093031849,-0.7052062928669309,-0.6789804443254294,-0.13245339933668895,-4.200091154556738
2010-01-11,-1.1741747418645467,-0.8042117037584483,-0.6805303552011748,-0.09187502553005496,-4.202300725421409
2010-01-12,-1.1601679156737956,-0.8364736153360447,-0.6806359965098117,-0.056309313764329086,-4.193094415491511
2010-01-13,-1.140332866374556,-0.7138227936734343,-0.6972209374472857,-0.16277473902374429,-4.187568043412053
2010-01-14,-1.125852199919721,-0.727316507149909,-0.6852090447784526,-0.1852916473557624,-4.191697228240508
2010-01-15,-1.088613193886299,-0.8597605180483787,-0.6695522229232795,-0.1466355804283338,-4.196420530254504
2010-01-18,-1.1100843913293355,-0.7614035596247167,-0.6821634564666236,-0.19755477043085815,-4.197260371526005
2010-01-19,-1.0915785131451665,-0.7474818737357692,-0.6822089800413307,-0.22136183102809495,-4.1932932391646105
2010-01-20,-1.0861883397089525,-0.687094146643667,-0.7004800681204689,-0.19179697410238317,-4.166663761480421
2010-01-21,-1.1054989028264723,-0.6266565994361293,-0.6889776728824571,-0.09636330551287195,-4.129660298794304
2010-01-22,-1.1010883354530006,-0.5199620442207322,-0.6837390840335102,-0.1319682934723643,-4.112245766597918
2010-01-25,-1.088915869543818,-0.4437320235589398,-0.6557626408557281,-0.2296017198957709,-4.118499047431563
2010-01-26,-1.0644143598276956,-0.3521646317865422,-0.693418481558075,-0.28831614854134174,-4.103832853647964
2010-01-27,-1.0743706992927222,-0.11906435262490803,-0.67469498651038,-0.32237689657204494,-4.060391252141036
2010-01-28,-1.0877492736490506,0.0380793573255974,-0.6453683748088942,-0.3301353259011544,-4.02905044286474
2010-01-29,-1.0474324711614733,-0.11127602924332614,-0.6393673252068309,-0.28779137111045683,-4.035591116162401
2010-02-01,-1.0794729924326498,0.0250540471141454,-0.6558226406528198,-0.4268076594676435,-4.059338543281903
2010-02-02,-1.1371004266223743,0.07293593505259666,-0.673906575951371,-0.4096597508419491,-4.066996130116512
2010-02-03,-1.1529683393577517,0.3330432828962442,-0.6981421797493171,-0.46231049432201693,-4.025569883965723
2010-02-04,-1.1533234885213859,0.4263057324226634,-0.6871674594277862,-0.41294911858387545,-3.9867065231629355
2010-02-05,-1.1383751961180406,0.3436017261013676,-0.6531663107297123,-0.3640117091976495,-3.9852188909103488
2010-02-08,-1.1577974096847197,0.33378805337928785,-0.6288862209182099,-0.3184667956737506,-3.981493429599122
2010-02-09,-1.174754897673965,0.309321337428785,-0.6160504539604769,-0.38727063211421514,-4.016563872651653
2010-02-10,-1.1525912974550772,0.18548674716363156,-0.6579780506038742,-0.31957916701369027,-4.016951871990652
2010-02-11,-1.1177016552115482,0.12924504933658082,-0.6883867785038879,-0.40207339323501673,-4.042240774396516
2010-02-12,-1.0889363839832988,0.05901259316439337,-0.7285127981537282,-0.40184599212658667,-4.047642569533208
2010-02-15,-1.10385786827787,0.08716196715991088,-0.7410769432951828,-0.40353928387511007,-4.047683469669029
2010-02-16,-1.1104034586048799,0.03691019177873019,-0.7408101206899014,-0.42839847415595317,-4.070936414033237
2010-02-17,-1.1473438278653045,0.14149546179559208,-0.7617971682862904,-0.41816007474458244,-4.057664312542024
2010-02-18,-1.158497032319982,0.2116715058333167,-0.7561112956324173,-0.4752184813950861,-4.0628868994029705
2010-02-19,-1.1987107682199474,0.2250887462551714,-0.7519801964862787,-0.45828234785071637,-4.071529425017254
